"","Accession_ID","Integrated_P1","Integrated_P2"
"162","03C149P008","99C109P003","99C112P006"
"163","03C163P001","99C111P005","99C026P601"
"164","03C163P009","99C111P005","99C026P601"
"165","03C172P004","99C112P003","99C091P011"
"166","03C195P008","99C088P006","97C117P003"
"167","03C203P003","99C119P001","99C088P006"
"168","04AA21","NA","NA"
"169","04C001P601","00C046P601","00C018P601"
"170","04C002P005","00C046P601","00C259P002"
"171","04C009P005","01C024P602","00C259P002"
"172","04C013P604","01C068P802","00C259P002"
"173","04C014P603","01C006P602","01C068P802"
"174","04C018P004","01C080P602","00C259P002"
"175","04C020P604","01C024P602","01C080P602"
"176","04C038P004","99C014P604","00C259P002"
"177","04C038P603","99C014P604","00C259P002"
"178","04C039P001","00C259P002","00C018P601"
"179","04C041P006","00C259P002","00C071P607"
"180","04C041P007","00C259P002","00C071P607"
"181","04C042P607","01C014P603","00C259P002"
"182","04C044P603","00C259P002","01C057P601"
"183","04C045P605","01C061P602","00C259P002"
"184","04C053P001","01C006P602","01C061P602"
"185","04C056P608","00C071P607","01C024P602"
"186","04C058P607","01C014P603","01C024P602"
"187","04C062P603","01C068P802","99C014P604"
"188","04C073P002","00C139P003","01C080P602"
"189","04C076P004","01C057P601","01C080P602"
"190","04C077P002","01C061P602","01C080P602"
"191","04C078P606","00C008P603","01C014P603"
"192","04C085P601","00C038P606","01C080P602"
"193","051901","Sofija","Arosa"
"194","05C027P605","00C259P002","01C014P603"
"195","05C054P611","00C259P002","02C016P601"
"196","05C065P608","01C076P602","02C068P605"
"197","05C092P010","01C132P003","00C259P002"
"198","05C092P011","01C132P003","00C259P002"
"199","05C092P014","01C132P003","00C259P002"
"200","05C095P004","01C138P001","01C132P003"
"201","05C097P006","00C259P002","01C139P002"
"202","05C097P007","00C259P002","01C139P002"
"203","05C097P009","00C259P002","01C139P002"
"204","05C099P006","01C138P001","01C139P002"
"205","05C106P002","02C143P003","00C259P002"
"206","05C107P002","02C143P003","01C132P003"
"207","05C108P007","01C138P001","02C143P003"
"208","05C109P002","02C143P003","01C139P002"
"209","05C115P005","00C057P613","01C158P001"
"210","05C117P005","00C057P613","02C093P006"
"211","05C117P006","00C057P613","02C093P006"
"212","05C120P009","00C139P003","01C139P002"
"213","05C130P003","01C053P602","02C104P003"
"214","05C132P001","01C134P001","01C132P003"
"215","05C134P004","01C134P001","01C139P002"
"216","05C137P006","01C134P001","02C104P003"
"217","05C138P001","01C134P001","02C093P006"
"218","05C144P003","01C203P006","02C104P003"
"219","05C148P002","02C229P001","01C139P002"
"220","05C149P003","01C150P001","02C229P001"
"221","05C154P002","01C014P603","00C259P002"
"222","05C162P008","01C111P004","01C187P006"
"223","05C165P001","01C111P004","02C143P003"
"224","05C172P002","02C143P003","01C118P002"
"225","05C194P001","02C156P003","02C230P001"
"226","05C197P002","01C134P003","01C139P002"
"227","05C199P010","01C187P006","01C132P003"
"228","05C205P002","02C104P003","01C139P002"
"229","05C206P005","02C143P003","02C104P003"
"230","06C016P602","01C080P602","NA"
